fecha;provincia;Sexo;edad;personas_vacunadas_campaña_2025_acumulado;porcentaje_residentes_campaña_2025;sigla
2026-03-15;Segovia;Mujer;0-4;2;0.081037277;SE
2026-03-15;Segovia;Mujer;05-12;15;0.284522003;SE
2026-03-15;Segovia;Mujer;13-19;40;0.73964497;SE
2026-03-15;Segovia;Mujer;80-89;3424;61.87206361;SE
2026-03-15;Segovia;Mujer;>89;1847;75.82101806;SE
2026-03-15;Segovia;Hombre;0-4;1;0.037965072;SE
2026-03-15;Segovia;Hombre;05-12;14;0.253531329;SE
2026-03-15;Segovia;Hombre;20-29;94;1.112689394;SE
2026-03-15;Segovia;Hombre;50-59;869;6.737478679;SE
2026-03-15;Segovia;Hombre;70-79;3794;53.37647721;SE
2026-03-15;Segovia;Hombre;80-89;2531;67.83704101;SE
2026-03-15;Segovia;Hombre;>89;876;78.07486631;SE
2026-03-15;Segovia;Mujer;30-39;291;3.533697632;SE
2026-03-15;Segovia;Mujer;60-69;2413;21.87273387;SE
2026-03-15;Segovia;Mujer;70-79;3352;46.44589164;SE
2026-03-15;Segovia;Mujer;20-29;181;2.355543988;SE
2026-03-15;Segovia;Mujer;40-49;535;4.812449402;SE
2026-03-15;Segovia;Mujer;50-59;1091;8.776445982;SE
2026-03-15;Soria;Hombre;05-12;1;0.03257329;SO
2026-03-15;Soria;Hombre;20-29;33;0.692259283;SO
2026-03-15;Soria;Hombre;40-49;175;2.765486726;SO
2026-03-15;Soria;Mujer;05-12;0;0.0;SO
2026-03-15;Soria;Mujer;13-19;11;0.38718761;SO
2026-03-15;Soria;Mujer;30-39;143;3.121589173;SO
2026-03-15;Soria;Mujer;40-49;220;3.670949441;SO
2026-03-15;Soria;Mujer;60-69;1120;17.99196787;SO
2026-03-15;Soria;Mujer;>89;1318;74.50537027;SO
2026-03-15;Soria;Hombre;13-19;8;0.254858235;SO
2026-03-15;Soria;Hombre;30-39;71;1.412935323;SO
2026-03-15;Soria;Hombre;50-59;434;5.950095969;SO
2026-03-15;Soria;Hombre;>89;692;80.55878929;SO
2026-03-15;Soria;Mujer;20-29;65;1.537369915;SO
2026-03-15;Soria;Mujer;80-89;2236;65.07566938;SO
2026-03-15;Soria;Hombre;0-4;1;0.066711141;SO
2026-03-15;Soria;Hombre;60-69;1377;20.36680964;SO
2026-03-15;Soria;Hombre;70-79;2205;49.41730166;SO
2026-03-15;Soria;Hombre;80-89;1821;69.13439636;SO
2026-03-15;Soria;Mujer;0-4;0;0.0;SO
2026-03-15;Soria;Mujer;50-59;497;7.50641897;SO
2026-03-15;Soria;Mujer;70-79;1944;44.04168555;SO
2026-03-15;Valladolid;Hombre;0-4;11;0.131516021;VA
2026-03-15;Valladolid;Hombre;30-39;648;2.416918429;VA
2026-03-15;Valladolid;Hombre;>89;2139;76.50214592;VA
2026-03-15;Valladolid;Mujer;0-4;7;0.088383838;VA
2026-03-15;Valladolid;Mujer;05-12;34;0.198320112;VA
2026-03-15;Valladolid;Mujer;13-19;195;1.077705317;VA
2026-03-15;Valladolid;Mujer;20-29;578;2.374301676;VA
2026-03-15;Valladolid;Mujer;30-39;1116;4.22423256;VA
2026-03-15;Valladolid;Mujer;50-59;3406;7.895956973;VA
2026-03-15;Valladolid;Mujer;80-89;11367;59.68182295;VA
2026-03-15;Valladolid;Hombre;20-29;357;1.407395727;VA
2026-03-15;Valladolid;Hombre;70-79;13705;52.96618357;VA
2026-03-15;Valladolid;Mujer;40-49;1970;4.934993362;VA
2026-03-15;Valladolid;Mujer;60-69;8512;22.34531279;VA
2026-03-15;Valladolid;Mujer;70-79;12956;42.56101968;VA
2026-03-15;Valladolid;Hombre;05-12;47;0.257830929;VA
2026-03-15;Valladolid;Hombre;13-19;208;1.078223006;VA
2026-03-15;Valladolid;Hombre;40-49;1505;3.759492406;VA
2026-03-15;Valladolid;Hombre;50-59;3208;7.584820901;VA
2026-03-15;Valladolid;Hombre;60-69;8902;25.46557199;VA
